Technique,Cujo,,,Zozzle,,,JaSt,,,JStap (NGrams),,,JStap (Values),,
,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall
Baseline (no transformation),"98.56% (26,316/26,701)","0.95 (5,548/5,832)","0.98 (5,548/5,649)","90.41% (24,141/26,701)","0.97 (3,598/3,694)","0.66 (3,598/5,453)","96.29% (25,710/26,701)","1.00 (5,076/5,080)","0.99 (5,076/5,108)","86.42% (23,075/26,701)","1.00 (4,483/4,484)","0.99 (4,483/4,524)","86.13% (22,997/26,701)","1.00 (4,439/4,440)","0.98 (4,439/4,524)"
Individual,,,,,,,,,,,,,,,
"Sync, T1-StringLiteral","85.82% (22,391/26,092)","0.85 (1,623/1,907)","0.61 (1,623/2,644)","91.71% (23,930/26,092)","0.97 (3,387/3,483)","0.62 (3,387/5,453)","92.09% (24,027/26,092)","1.00 (3,393/3,397)","0.66 (3,393/5,108)","77.15% (20,131/26,092)","1.00 (1,539/1,540)","0.36 (1,539/4,257)","78.17% (20,397/26,092)","1.00 (1,839/1,840)","0.43 (1,839/4,257)"
"Sync, T2-ArrayInitialization","95.13% (24,818/26,089)","0.93 (4,050/4,334)","0.94 (4,050/4,292)","92.51% (24,136/26,089)","0.97 (3,593/3,689)","0.66 (3,593/5,450)","95.80% (24,994/26,089)","1.00 (4,360/4,364)","0.85 (4,360/5,105)","86.17% (22,482/26,089)","1.00 (3,890/3,891)","0.86 (3,890/4,505)","86.50% (22,567/26,089)","1.00 (4,009/4,010)","0.89 (4,009/4,505)"
"Sync, T3-FunctionName","90.25% (23,548/26,092)","0.91 (2,780/3,064)","0.67 (2,780/4,159)","92.34% (24,093/26,092)","0.97 (3,550/3,646)","0.65 (3,550/5,453)","92.54% (24,146/26,092)","1.00 (3,512/3,516)","0.69 (3,512/5,108)","81.78% (21,339/26,092)","1.00 (2,747/2,748)","0.57 (2,747/4,810)","84.40% (22,021/26,092)","1.00 (3,463/3,464)","0.72 (3,463/4,810)"
"Sync, T4-CallExpression(a)","91.25% (23,808/26,092)","0.91 (3,040/3,324)","0.71 (3,040/4,285)","92.17% (24,050/26,092)","0.97 (3,507/3,603)","0.64 (3,507/5,453)","86.53% (22,577/26,092)","1.00 (1,943/1,947)","0.38 (1,943/5,108)","77.86% (20,315/26,092)","1.00 (1,723/1,724)","0.37 (1,723/4,633)","84.97% (22,171/26,092)","1.00 (3,613/3,614)","0.78 (3,613/4,633)"
"Sync, T4-CallExpression(b) ","88.74% (23,153/26,092)","0.89 (2,385/2,669)","0.58 (2,385/4,115)","91.86% (23,967/26,092)","0.97 (3,424/3,520)","0.63 (3,424/5,453)","87.72% (22,887/26,092)","1.00 (2,253/2,257)","0.44 (2,253/5,108)","75.31% (19,650/26,092)","1.00 (1,058/1,059)","0.23 (1,058/4,586)","84.04% (21,927/26,092)","1.00 (3,369/3,370)","0.73 (3,369/4,586)"
"Sync, T5-IfStatement","93.06% (24,281/26,092)","0.93 (3,513/3,797)","0.82 (3,513/4,301)","92.17% (24,048/26,092)","0.97 (3,505/3,601)","0.64 (3,505/5,453)","96.46% (25,169/26,092)","1.00 (4,535/4,539)","0.89 (4,535/5,108)","85.50% (22,309/26,092)","1.00 (3,717/3,718)","0.83 (3,717/4,501)","87.14% (22,736/26,092)","1.00 (4,178/4,179)","0.93 (4,178/4,501)"
